total energy: -1.1082774590181235 ; entropy: 0.00811002838961257
total energy: -1.1049386629465114 ; entropy: 0.008099418591686237
total energy: -1.108314904026382 ; entropy: 0.008313162858064275
total energy: -1.1079389912365587 ; entropy: 0.008292058197706356
total energy: -1.1081889744949516 ; entropy: 0.007620694977818558
total energy: -1.1082774590181235 ; entropy: 0.00811002838961257
total energy: -1.1082774590181235 ; entropy: 0.00811002838961257
total energy: -1.1082774590181235 ; entropy: 0.00811002838961257
total energy: -1.1082774590181235 ; entropy: 0.00811002838961257
total energy: -1.108059037013143 ; entropy: 0.007980977875295135
total energy: -1.1083334148074755 ; entropy: 0.008416196818813408
total energy: -1.1049386629465132 ; entropy: 0.008099418591686237
total energy: -1.1083149040263824 ; entropy: 0.008313162858064275
total energy: -1.107938991236557 ; entropy: 0.008292058197706356
total energy: -1.1081889744949516 ; entropy: 0.007620694977819219
total energy: -1.1082774590181235 ; entropy: 0.00811002838961257
total energy: -1.1082774590181235 ; entropy: 0.00811002838961257
total energy: -1.1082774590181235 ; entropy: 0.00811002838961257
total energy: -1.1082774590181235 ; entropy: 0.00811002838961257
total energy: -1.1080590370131433 ; entropy: 0.007980977875293825
total energy: -1.1083334148074753 ; entropy: 0.008416196818813408
total energy: -1.1083850826471062 ; entropy: 0.00869942486134594
total energy: -1.108498740874085 ; entropy: 0.009315142214921801
total energy: -1.1084172335192088 ; entropy: 0.008875383215449971
total energy: -1.108128200976305 ; entropy: 0.008551015361388286
total energy: -1.1081306956433765 ; entropy: 0.008611494447063472
total energy: -1.104218767864071 ; entropy: 0.008611948595435777
total energy: -1.105357704641257 ; entropy: 0.008659610237082428
total energy: -1.1083247535184846 ; entropy: 0.008630090606831049
total energy: -1.10832441059112 ; entropy: 0.008683429416560478
total energy: -1.1083229725440453 ; entropy: 0.008742383568821855
total energy: -1.1083201085662806 ; entropy: 0.008807574204030699
total energy: -1.1083154087935936 ; entropy: 0.008879697241719824
total energy: -1.1083083669204286 ; entropy: 0.008959533558577306
total energy: -1.1082983591409599 ; entropy: 0.009047960760541353
total energy: -1.1082846186672024 ; entropy: 0.009145966830374119
total energy: -1.1082662049234375 ; entropy: 0.009254665985179067
total energy: -1.108239706202155 ; entropy: 0.00917066025985947
total energy: -1.108383842459917 ; entropy: 0.009274810726037551
total energy: -1.1083235093279304 ; entropy: 0.009320814700615415
total energy: -1.1082008939342622 ; entropy: 0.009850099302724732
total energy: -1.108295840436586 ; entropy: 0.009477836682901674
total energy: -1.1082489394625252 ; entropy: 0.009486610983274937
total energy: -1.1082089991149842 ; entropy: 0.009592447741028506
total energy: -1.107901098652428 ; entropy: 0.009564233721308837
total energy: -1.1078982390374932 ; entropy: 0.009587162716263002
total energy: -1.1048647429058482 ; entropy: 0.009835681747314026
total energy: -1.1083185114123697 ; entropy: 0.009805339702850722
total energy: -1.106338345145445 ; entropy: 0.009958429530684902
total energy: -1.0996821020630958 ; entropy: 0.010772115040832732
total energy: -1.1084563729390136 ; entropy: 0.010073235712267087
total energy: -1.1084745896512762 ; entropy: 0.010149625194828015
total energy: -1.1084952652306908 ; entropy: 0.010220326635912772
total energy: -1.108136514778854 ; entropy: 0.01026136712386596
total energy: -1.1084829779432794 ; entropy: 0.010430265509471837
total energy: -1.1085071602683396 ; entropy: 0.010498293001521353
total energy: -1.1085327504616933 ; entropy: 0.01055454900623155
total energy: -1.1085578130783977 ; entropy: 0.010595699239587761
total energy: -1.1080612915192984 ; entropy: 0.010727656103502436
total energy: -1.1085843076269877 ; entropy: 0.010787728072241399
total energy: -1.1086927652413987 ; entropy: 0.011669675743784675
total energy: -1.1077348137775151 ; entropy: 0.010966874646911852
total energy: -1.1078292042313531 ; entropy: 0.011112857831894196
total energy: -1.108470083025651 ; entropy: 0.011116776201651225
total energy: -1.1085231707109606 ; entropy: 0.011250462384490467
total energy: -1.1084999282465822 ; entropy: 0.011374672162123569
total energy: -1.1081558771397257 ; entropy: 0.011571339999393606
total energy: -1.1086181469491427 ; entropy: 0.01172810570226451
total energy: -1.1086727126161826 ; entropy: 0.01291837625294129
total energy: -1.107894428068356 ; entropy: 0.011820790071791204
total energy: -1.100108939960878 ; entropy: 0.012087379392705645
total energy: -1.107711285711366 ; entropy: 0.012245344445553497
total energy: -1.1074586217592384 ; entropy: 0.012190438326030782
total energy: -1.1072616915033613 ; entropy: 0.012318804761746478
total energy: -1.1070268769786946 ; entropy: 0.012459226001218456
total energy: -1.1071490451550354 ; entropy: 0.012748079725329571
total energy: -1.106631944951655 ; entropy: 0.01271787939058784
total energy: -1.106302005001774 ; entropy: 0.012876640572299262
total energy: -1.1059139908770474 ; entropy: 0.013059940103457696
total energy: -1.1031488114298702 ; entropy: 0.01450010869698427
total energy: -1.105203744126767 ; entropy: 0.013416151326347001
total energy: -1.103600486077937 ; entropy: 0.013598465314614385
total energy: -1.1080453365059622 ; entropy: 0.014006643313647864
total energy: -1.1058674941667113 ; entropy: 0.013976865692754088
total energy: -1.1056004749661608 ; entropy: 0.014116267622380135
total energy: -1.1046627830863178 ; entropy: 0.014332211840085438
total energy: -1.1040492253636895 ; entropy: 0.014558553440932561
total energy: -1.0993688376881408 ; entropy: 0.016494508649520102
total energy: -1.101608563484791 ; entropy: 0.014973183337978674
total energy: -1.1025029097531236 ; entropy: 0.01502022033839105
total energy: -1.100531236171547 ; entropy: 0.015300475487458292
total energy: -1.1022884872704888 ; entropy: 0.015522334779843772
total energy: -1.1086825421943547 ; entropy: 0.015747731265471316
total energy: -1.1037686112023117 ; entropy: 0.01584772184189124
total energy: -1.1027920966505322 ; entropy: 0.016037714580878333
total energy: -1.1029992638363257 ; entropy: 0.016507894792758257
total energy: -1.0996561130971225 ; entropy: 0.018990447610495845
total energy: -1.10256900571479 ; entropy: 0.017035136147075518
total energy: -1.1028770515496775 ; entropy: 0.01714432198687466
total energy: -1.1014262621950561 ; entropy: 0.017465247679020655
total energy: -1.1022330225592196 ; entropy: 0.017941849752526003
total energy: -1.0948246908305195 ; entropy: 0.018609379459182368
total energy: -1.1017007404342898 ; entropy: 0.018431922936744005
total energy: -1.1031884917718229 ; entropy: 0.018833746660763796
total energy: -1.1001881992179885 ; entropy: 0.01865073849074507
total energy: -1.076332224064419 ; entropy: 0.019697012922042234
total energy: -1.0333530413981722 ; entropy: 0.023655806365161444
total energy: -1.0932847457769947 ; entropy: 0.019986184020035543
total energy: -1.0939634715800401 ; entropy: 0.020434676700037468
total energy: -1.0948631203306796 ; entropy: 0.020861760534707775
total energy: -1.0963270589184295 ; entropy: 0.020900179771518642
total energy: -1.0938954476546079 ; entropy: 0.02161047788692307
total energy: -1.0962912272104313 ; entropy: 0.021988770903622907
total energy: -1.0932997167436713 ; entropy: 0.022290993788681927
total energy: -1.0709094425779258 ; entropy: 0.02277496462338636
total energy: -1.0846727200339505 ; entropy: 0.02329798008940177
total energy: -1.0841149857613284 ; entropy: 0.02404104696960814
total energy: -1.0706398673380495 ; entropy: 0.028578763617092388
total energy: -1.0867841766707311 ; entropy: 0.02433911896689381
total energy: -1.0793832807636985 ; entropy: 0.024685119524297045
total energy: -1.0756337496888226 ; entropy: 0.02546834581585874
total energy: -1.075012943105015 ; entropy: 0.02627673944426
total energy: -1.0700232838214168 ; entropy: 0.026400521947620915
total energy: -1.0671635760122153 ; entropy: 0.02664078845890269
total energy: -1.075150314601638 ; entropy: 0.02667301379683485
total energy: -1.0609804533396823 ; entropy: 0.0283897018890271
total energy: -1.0482593112723186 ; entropy: 0.028960282148968758
total energy: -1.0032904433709822 ; entropy: 0.034114735793259576
total energy: -1.047271431114649 ; entropy: 0.029993419124780648
total energy: -1.0529186585162849 ; entropy: 0.030017725682155168
total energy: -1.047024645904143 ; entropy: 0.030306694787307225
total energy: -1.0403178921270249 ; entropy: 0.031228602828982762
total energy: -1.0279678188794337 ; entropy: 0.032117134641029214
total energy: -1.0233925339860155 ; entropy: 0.03205892607962349
total energy: -1.0104449844342456 ; entropy: 0.03310050557019862
total energy: -1.0045023682524203 ; entropy: 0.03379513622457641
total energy: -1.0351793238787024 ; entropy: 0.03433008725233397
total energy: -1.0139253392076262 ; entropy: 0.03883570453624011
total energy: -1.006031609168591 ; entropy: 0.03550529197351137
total energy: -1.0642026337818067 ; entropy: 0.035068363432964794
total energy: -0.9957487262396043 ; entropy: 0.03633804627576146
total energy: -0.9986066996535639 ; entropy: 0.03709641682637034
total energy: -0.9952161061382763 ; entropy: 0.037261854623145296
total energy: -0.9863685123206039 ; entropy: 0.03680491134152428
total energy: -0.9840068762414644 ; entropy: 0.03765792670309671
total energy: -0.9774241193655662 ; entropy: 0.038018804875684126
total energy: -0.9525993456760917 ; entropy: 0.04044817069087274
total energy: -0.8693704198978967 ; entropy: 0.04336055301022453
total energy: -0.9567927374352825 ; entropy: 0.03806040651147966
total energy: -0.9269390039517365 ; entropy: 0.037824448276789574
total energy: -0.9490655781997173 ; entropy: 0.0397165377644041
total energy: -0.9278282094081012 ; entropy: 0.0403835503214789
total energy: -0.923298648557566 ; entropy: 0.04081031478026807
total energy: -0.9179028761186572 ; entropy: 0.039606684740011534
total energy: -0.9312742338200597 ; entropy: 0.04114597483171739
total energy: -0.914050440983009 ; entropy: 0.04036727951795474
total energy: -0.9248677841615558 ; entropy: 0.03974287570234939
total energy: -0.924231950982993 ; entropy: 0.03989318281661925
total energy: -0.9157555143375591 ; entropy: 0.03897208962251799
total energy: -0.8074743015161923 ; entropy: 0.04247541358889568
total energy: -0.874225503505671 ; entropy: 0.0384612123785499
total energy: -0.8749803993315575 ; entropy: 0.03804557031821034
total energy: -0.8737480770068216 ; entropy: 0.04008215964947206
total energy: -0.8443342816974837 ; entropy: 0.03758271068761002
total energy: -0.8322702094226504 ; entropy: 0.036980524810482064
total energy: -0.958429918917995 ; entropy: 0.0396506533891333
total energy: -0.995127028376213 ; entropy: 0.03742658255911749
total energy: -0.8850987998715574 ; entropy: 0.039537756807464824
total energy: -0.847691397912341 ; entropy: 0.0387557727995694
total energy: -0.9037965136191153 ; entropy: 0.041797406116192426
total energy: -0.8401321982913501 ; entropy: 0.039272568701244695
total energy: -0.9437565291124503 ; entropy: 0.04108422856752615
total energy: -0.8576328165493587 ; entropy: 0.041789531621933294
total energy: -0.9407674223934128 ; entropy: 0.04207830479099806
total energy: -0.9727809118158126 ; entropy: 0.03974855518149727
total energy: -0.7789655756385863 ; entropy: 0.03833683200521552
total energy: -0.9660358280367405 ; entropy: 0.040659204826752324
total energy: -0.9087119504743129 ; entropy: 0.042739954100425186
total energy: -0.9859566664325163 ; entropy: 0.0376186830113633
total energy: -0.87875505213784 ; entropy: 0.040951968949166195
total energy: -0.945623417612953 ; entropy: 0.04188593849327528
total energy: -0.9167991507847157 ; entropy: 0.043596344575707505
total energy: -0.9163144581690719 ; entropy: 0.045715976267457124
total energy: -0.8692758538352618 ; entropy: 0.04265766592520527
total energy: -0.871727047291976 ; entropy: 0.043179096333876794
total energy: -0.8920152515167901 ; entropy: 0.044630773960465005
total energy: -0.8293868886319575 ; entropy: 0.041397522866497116
total energy: -0.8737085979484742 ; entropy: 0.045293688432698966
total energy: -0.9250049302858312 ; entropy: 0.042980639769077074
total energy: -0.886063126556224 ; entropy: 0.04553296663291475
total energy: -0.867516322817883 ; entropy: 0.04502047584423776
total energy: -0.810593523704966 ; entropy: 0.045333557365526536
total energy: -0.8503900816257175 ; entropy: 0.04607443012294474
total energy: -0.812323176299983 ; entropy: 0.0481839744374169
total energy: -0.890113440011228 ; entropy: 0.046161756667325284
total energy: -0.8149969584783807 ; entropy: 0.04565967311245255
total energy: -0.8168582015334416 ; entropy: 0.04799968293123003
total energy: -0.9189933640345342 ; entropy: 0.044631782105425975
total energy: -0.8981004645773936 ; entropy: 0.044820185877706385
total energy: -0.8502927439520331 ; entropy: 0.04786895672307399
total energy: -0.7946608790236158 ; entropy: 0.04759786842771789
total energy: -0.7843256126015914 ; entropy: 0.04868759256619676
total energy: -0.6990421008418413 ; entropy: 0.050871399486922216
total energy: -0.9125749757635655 ; entropy: 0.04902706108972374
total energy: -0.8567012198279798 ; entropy: 0.0495374386649337
total energy: -0.8094831252327623 ; entropy: 0.04926680026093367
total energy: -0.7788753175465188 ; entropy: 0.048653004007014465
total energy: -0.8273622712964215 ; entropy: 0.05169695364574889
total energy: -0.8045688021028805 ; entropy: 0.05548410933276168
total energy: -0.8253416185338296 ; entropy: 0.052937627796847186
total energy: -0.7925234778453392 ; entropy: 0.052185208117288606
total energy: -0.7494887324102311 ; entropy: 0.04939217795720434
total energy: -0.7563818394880226 ; entropy: 0.04807529545239088
total energy: -0.777687499485505 ; entropy: 0.05476611958829649
total energy: -0.7632763397634716 ; entropy: 0.05343156875002874
total energy: -0.8220529539963313 ; entropy: 0.054800676082208406
total energy: -0.7388421844098596 ; entropy: 0.055450180571461206
total energy: -0.8063504268965918 ; entropy: 0.05563470609021258
total energy: -0.8055144996674659 ; entropy: 0.057959803590458964
total energy: -0.6777216169822313 ; entropy: 0.059520081614887775
total energy: -0.5447125695907669 ; entropy: 0.06886921485338515
total energy: -0.6794117493226668 ; entropy: 0.05786210407658396
total energy: -0.7697962141930894 ; entropy: 0.05983000058554442
total energy: -0.7034402032420959 ; entropy: 0.054232326365255115
total energy: -0.7265509442800588 ; entropy: 0.06174187042524583
total energy: -0.7847251392709407 ; entropy: 0.05817227284467048
total energy: -0.7256758492739444 ; entropy: 0.06426475319597624
total energy: -0.7555538445781014 ; entropy: 0.06282801120651918
total energy: -0.5903993245321826 ; entropy: 0.06603376155514437
total energy: -0.6843868617186886 ; entropy: 0.07009101161166906
total energy: -0.6248928079992415 ; entropy: 0.08583932117869232
total energy: -0.7346503970627738 ; entropy: 0.06680926363783503
total energy: -0.6115698749103806 ; entropy: 0.06923641297984631
total energy: -0.7619136571610505 ; entropy: 0.06815624261754966
total energy: -0.6679508300174863 ; entropy: 0.07486845419809986
total energy: -0.6089214343195064 ; entropy: 0.07534018695385679
total energy: -0.6660443541625221 ; entropy: 0.07603895590959443
total energy: -0.7148850756608545 ; entropy: 0.06907447372009126
total energy: -0.6454219462668742 ; entropy: 0.07671337243703281
total energy: -0.5761422754198426 ; entropy: 0.08466671060863222
total energy: -0.6483406643419778 ; entropy: 0.07980486772852054
total energy: -0.569274427722388 ; entropy: 0.07996967913438094
total energy: -0.6801725976014104 ; entropy: 0.07556898855262376
