total energy: -1.1082774590181235 ; entropy: 0.008110028389613222
total energy: -1.1083149040263824 ; entropy: 0.008313162858064275
total energy: -1.1081889744949514 ; entropy: 0.007620694977818558
total energy: -1.1082774590181235 ; entropy: 0.008110028389613222
total energy: -1.1082774590181235 ; entropy: 0.008110028389613222
total energy: -1.1083334148074755 ; entropy: 0.008416196818813408
total energy: -1.108314904026382 ; entropy: 0.008313162858064275
total energy: -1.1081889744949514 ; entropy: 0.007620694977818558
total energy: -1.1082774590181235 ; entropy: 0.008110028389613222
total energy: -1.1082774590181235 ; entropy: 0.008110028389613222
total energy: -1.108333414807475 ; entropy: 0.008416196818813408
total energy: -1.1083948435335758 ; entropy: 0.008752571390636467
total energy: -1.1085140267266107 ; entropy: 0.009397430181192858
total energy: -1.1084631988321971 ; entropy: 0.009125890259361417
total energy: -1.1083966873321025 ; entropy: 0.008763666552311764
total energy: -1.1084216663599078 ; entropy: 0.008899905682411405
total energy: -1.1084521528302476 ; entropy: 0.009065857417456913
total energy: -1.108489482675338 ; entropy: 0.009268575773627132
total energy: -1.1085353688094743 ; entropy: 0.009517032009387924
total energy: -1.1086803596421335 ; entropy: 0.01029689920751618
total energy: -1.108567067901075 ; entropy: 0.009688266253011014
total energy: -1.1086222304382576 ; entropy: 0.009982995566250263
total energy: -1.1086706596557545 ; entropy: 0.010241888658973285
total energy: -1.1087442676247583 ; entropy: 0.010633781066489318
total energy: -1.1089948213667031 ; entropy: 0.011942832925991718
total energy: -1.108787289054214 ; entropy: 0.010866380011710084
total energy: -1.1088386568307709 ; entropy: 0.011138449942420242
total energy: -1.1088878954907109 ; entropy: 0.011398195977374034
total energy: -1.1089681378883625 ; entropy: 0.011811209488131618
total energy: -1.109048415927998 ; entropy: 0.012235379894776834
total energy: -1.1094011028093267 ; entropy: 0.014042730885864791
total energy: -1.1091979896984345 ; entropy: 0.013020869989386539
total energy: -1.1092817676111035 ; entropy: 0.013435258779470551
total energy: -1.1093608870701785 ; entropy: 0.01383655277356289
total energy: -1.109441546739301 ; entropy: 0.014238156730319322
total energy: -1.1099174211538607 ; entropy: 0.016554755374561456
total energy: -1.1097355909317261 ; entropy: 0.01570692200282276
total energy: -1.1097860721846093 ; entropy: 0.01595361503173133
total energy: -1.1099366069624332 ; entropy: 0.01668137315669858
total energy: -1.1106540738869617 ; entropy: 0.020025267857507408
total energy: -1.1102533645239476 ; entropy: 0.01818140545146585
total energy: -1.110482588047935 ; entropy: 0.019280002552863267
total energy: -1.11077886639999 ; entropy: 0.020663189327288636
total energy: -1.1119858875580186 ; entropy: 0.025870882624966847
total energy: -1.1110680414008098 ; entropy: 0.021798106238499242
total energy: -1.1113788409626773 ; entropy: 0.023215503981588982
total energy: -1.111704195028605 ; entropy: 0.024476380766671156
